RMKE,RMK Energy Tbk.,Energy
CUAN,Petrindo Jaya Kreasi Tbk.,Energy
INDY,Indika Energy Tbk,Energy
ADRO,Alamtri Resources Indonesia Tbk,Energy
INCO,Vale Indonesia Tbk.,Basic Materials
KKGI,Resource Alam Indonesia Tbk,Energy
ITMG,Indo Tambangraya Megah Tbk,Energy
HRUM,Harum Energy Tbk.,Energy
MBMA,Merdeka Battery Materials Tbk.,Basic Materials
PTRO,Petrosea Tbk,Energy
AMMN,Amman Mineral Internasional Tbk,Basic Materials
ANTM,ANTAM (Persero) Tbk.,Basic Materials
PGEO,Pertamina Geothermal Energy Tbk,Infrastructures
UNTR,United Tractors Tbk,Industrials
ENRG,Energi Mega Persada Tbk,Energy
BUMI,Bumi Resources Tbk,Energy
MEDC,Medco Energi Internasional Tbk.,Energy
RAFI,Sari Kreasi Boga Tbk.,Consumer Cyclicals
ADHI,Adhi Karya (Persero) Tbk,Infrastructures
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals
DOID,BUMA Internasional Grup Tbk.,Energy
SMRA,Summarecon Agung Tbk,Properties & Real Estate
PANI,Pantai Indah Kapuk Dua Tbk.,Properties & Real Estate
DILD,Intiland Development Tbk,Properties & Real Estate
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials
ASRI,Alam Sutera Realty Tbk.,Properties & Real Estate
BSDE,Bumi Serpong Damai Tbk,Properties & Real Estate
PTPP,PP (Persero) Tbk.,Infrastructures
PWON,Pakuwon Jati Tbk.,Properties & Real Estate
NICL,PAM Mineral Tbk.,Basic Materials
ASII,Astra International Tbk,Industrials
JSMR,Jasa Marga (Persero) Tbk,Infrastructures
LPKR,Lippo Karawaci Tbk,Properties & Real Estate
FIMP,Fimperkasa Utama Tbk.,Infrastructures
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals
TIFA,KDB Tifa Finance Tbk.,Financials
NOBU,Bank Nationalnobu Tbk.,Financials
NCKL,Trimegah Bangun Persada Tbk.,Basic Materials
BSIM,Bank Sinarmas Tbk.,Financials
BVIC,Bank Victoria International Tbk,Financials
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials
MCOR,Bank China Construction Bank In,Financials
DMMX,Digital Mediatama Maxima Tbk.,Technology
BBYB,Bank Neo Commerce Tbk.,Financials
ATIC,Anabatic Technologies Tbk.,Technology
BABP,Bank MNC Internasional Tbk.,Financials
MLIA,Mulia Industrindo Tbk,Industrials
BACA,Bank Capital Indonesia Tbk.,Financials
DEWA,Darma Henwa Tbk,Energy
DUTI,Duta Pertiwi Tbk,Properties & Real Estate
RALS,Ramayana Lestari Sentosa Tbk,Consumer Cyclicals
SSIA,Surya Semesta Internusa Tbk,Infrastructures
STTP,Siantar Top Tbk.,Consumer Non-Cyclicals
EMTK,Elang Mahkota Teknologi Tbk,Technology
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals
BATA,Sepatu Bata Tbk,Consumer Cyclicals
WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals
ULTJ,Ultrajaya Milk Industry & Tradi,Consumer Non-Cyclicals
TCID,Mandom Indonesia Tbk,Consumer Non-Cyclicals
AMAG,Asuransi Multi Artha Guna Tbk,Financials
APLI,Asiaplast Industries Tbk,Basic Materials
BEST,Bekasi Fajar Industrial Estate ,Properties & Real Estate
MIRA,Mitra International Resources T,Transportation & Logistics
IMAS,Indomobil Sukses Internasional ,Consumer Cyclicals
LION,Lion Metal Works Tbk,Industrials
MAIN,Malindo Feedmill Tbk,Consumer Non-Cyclicals
GJTL,Gajah Tunggal Tbk,Consumer Cyclicals
MPRO,Maha Properti Indonesia Tbk.,Properties & Real Estate
SPTO,Surya Pertiwi Tbk.,Industrials
ASSA,Adi Sarana Armada Tbk.,Transportation & Logistics
JRPT,Jaya Real Property Tbk,Properties & Real Estate
MPPA,Matahari Putra Prima Tbk,Consumer Non-Cyclicals
AGRO,Bank Raya Indonesia Tbk.,Financials
TMAS,Temas Tbk.,Transportation & Logistics
ELSA,Elnusa Tbk,Energy
RAJA,Rukun Raharja Tbk,Energy
SMDR,Samudera Indonesia  Tbk,Transportation & Logistics
PBSA,Paramita Bangun Sarana Tbk.,Infrastructures
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials
BIRD,Blue Bird Tbk.,Transportation & Logistics
MENN,Menn Teknologi Indonesia Tbk.,Technology
TINS,TIMAH (Persero) Tbk.,Basic Materials
SMDM,Suryamas Dutamakmur Tbk,Properties & Real Estate
AGII,Samator Indo Gas Tbk.,Basic Materials
AGRS,Bank IBK Indonesia Tbk.,Financials
AKPI,Argha Karya Prima Industry Tbk.,Basic Materials
AKSI,Mineral Sumberdaya Mandiri Tbk.,Transportation & Logistics
ABMM,ABM Investama Tbk.,Energy
ADMF,Adira Dinamika Multi Finance Tb,Financials
AISA,FKS Food Sejahtera Tbk.,Consumer Non-Cyclicals
ADCP,Adhi Commuter Properti Tbk.,Properties & Real Estate
AUTO,Astra Otoparts Tbk,Consumer Cyclicals
ADMG,Polychem Indonesia Tbk,Basic Materials
TLKM,Telkom Indonesia (Persero) Tbk.,Infrastructures
KOIN,Kokoh Inti Arebama Tbk,Industrials
ANDI,Andira Agro Tbk.,Consumer Non-Cyclicals
AMAR,Bank Amar Indonesia Tbk.,Financials
APII,Arita Prima Indonesia Tbk.,Industrials
AIMS,Artha Mahiya Investama Tbk.,Energy
AMOR,Ashmore Asset Management Indone,Financials
APIC,Pacific Strategic Financial Tbk,Financials
ABBA,Mahaka Media Tbk.,Consumer Cyclicals
ACST,Acset Indonusa Tbk.,Infrastructures
ALKA,Alakasa Industrindo Tbk,Basic Materials
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Non-Cyclicals
ARKO,Arkora Hydro Tbk.,Infrastructures
AVIA,Avia Avian Tbk.,Basic Materials
ASMI,Asuransi Maximus Graha Persada ,Financials
BISI,BISI International Tbk,Consumer Non-Cyclicals
ASGR,Astra Graphia Tbk,Industrials
ARNA,Arwana Citramulia Tbk,Industrials
ASDM,Asuransi Dayin MitraTbk,Financials
BAPI,Bhakti Agung Propertindo Tbk.,Properties & Real Estate
ARKA,Arkha Jayanti Persada Tbk.,Industrials
BANK,Bank Aladin Syariah Tbk.,Financials
AYLS,Arkayana Lestari Grup Tbk.,Basic Materials
ASJT,Asuransi Jasa Tania Tbk,Financials
ASRM,Asuransi Ramayana Tbk,Financials
ARGO,Argo Pantes Tbk,Consumer Cyclicals
BALI,Bali Towerindo Sentra Tbk.,Infrastructures
ARII,Atlas Resources Tbk.,Energy
ARCI,Archi Indonesia Tbk.,Basic Materials
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals
BAPA,Bekasi Asri Pemula Tbk,Properties & Real Estate
BAJA,Saranacentral Bajatama Tbk.,Basic Materials
BEEF,Estika Tata Tiara Tbk.,Consumer Non-Cyclicals
AKKU,Anugerah Kagum Karya Utama Tbk.,Consumer Cyclicals
BBKP,Bank KB Indonesia Tbk.,Financials
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals
BGTG,Bank Ganesha Tbk.,Financials
GTBO,Garda Tujuh Buana Tbk,Energy
CTRA,Ciputra Development Tbk,Properties & Real Estate
ASPI,Andalan Sakti Primaindo Tbk.,Properties & Real Estate
BFIN,BFI Finance  Indonesia Tbk,Financials
AMIN,Ateliers Mecaniques D Indonesie,Industrials
BCAP,MNC Kapital Indonesia Tbk.,Financials
BCIC,Bank JTrust Indonesia Tbk.,Financials
BCIP,Bumi Citra Permai Tbk.,Properties & Real Estate
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistics
BIPI,Astrindo Nusantara Infrastruktu,Energy
CNKO,Exploitasi Energi Indonesia Tbk,Energy
BIPP,Bhuwanatala Indah Permai Tbk.,Properties & Real Estate
CARS,Industri dan Perdagangan Bintra,Consumer Cyclicals
DLTA,Delta Djakarta Tbk,Consumer Non-Cyclicals
CASS,Cahaya Aero Services Tbk.,Infrastructures
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals
CINT,Chitose Internasional Tbk.,Consumer Cyclicals
CASH,Cashlez Worldwide Indonesia Tbk,Technology
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals
BBRM,Pelayaran Nasional Bina Buana R,Energy
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals
CENT,Centratama Telekomunikasi Indon,Infrastructures
BYAN,Bayan Resources Tbk,Energy
CITA,Cita Mineral Investindo Tbk,Basic Materials
CLPI,Colorpak Indonesia Tbk,Basic Materials
ASBI,Asuransi Bintang Tbk,Financials
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals
DGIK,Nusa Konstruksi Enjiniring Tbk.,Infrastructures
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals
DEFI,Danasupra Erapacific Tbk.,Financials
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals
DART,Duta Anggada Realty Tbk.,Properties & Real Estate
CTTH,Citatah Tbk.,Industrials
CSMI,Cipta Selera Murni Tbk.,Consumer Cyclicals
CSIS,Cahayasakti Investindo Sukses T,Properties & Real Estate
DIVA,Distribusi Voucher Nusantara Tb,Technology
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals
CTBN,Citra Tubindo Tbk,Basic Materials
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals
DGNS,Diagnos Laboratorium Utama Tbk.,Healthcare
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate
CFIN,Clipan Finance Indonesia Tbk,Financials
SBAT,Sejahtera Bintang Abadi Textile,Consumer Cyclicals
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals
DNET,Indoritel Makmur Internasional ,Financials
DSFI,Dharma Samudera Fishing Industr,Consumer Non-Cyclicals
EKAD,Ekadharma International Tbk,Basic Materials
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals
DSSA,Dian Swastatika Sentosa Tbk,Energy
DWGL,Dwi Guna Laksana Tbk.,Energy
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals
DVLA,Darya-Varia Laboratoria Tbk,Healthcare
EPAC,Megalestari Epack Sentosaraya T,Basic Materials
ELIT,Data Sinergitama Jaya Tbk.,Technology
ERTX,Eratex Djaja Tbk,Consumer Cyclicals
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals
FORU,Fortune Indonesia Tbk,Consumer Cyclicals
FILM,MD Entertainment Tbk.,Consumer Cyclicals
FMII,Fortune Mate Indonesia Tbk,Properties & Real Estate
NRCA,Nusa Raya Cipta Tbk.,Infrastructures
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals
ABDA,Asuransi Bina Dana Arta Tbk.,Financials
FIRE,Alfa Energi Investama Tbk.,Energy
FAST,Fast Food Indonesia Tbk,Consumer Cyclicals
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals
FPNI,Lotte Chemical Titan Tbk.,Basic Materials
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals
DYAN,Dyandra Media International Tbk,Industrials
FUJI,Fuji Finance Indonesia Tbk.,Financials
GMTD,Gowa Makassar Tourism Developme,Properties & Real Estate
GMFI,Garuda Maintenance Facility Aer,Infrastructures
GLVA,Galva Technologies Tbk.,Technology
GSMF,Equity Development Investment T,Financials
GPRA,Perdana Gapuraprima Tbk,Properties & Real Estate
HEXA,Hexindo Adiperkasa Tbk,Industrials
GOLD,Visi Telekomunikasi Infrastrukt,Infrastructures
BBHI,Allo Bank Indonesia Tbk.,Financials
HELI,Jaya Trishindo Tbk.,Transportation & Logistics
HADE,Himalaya Energi Perkasa Tbk.,Infrastructures
HDFA,Radana Bhaskara Finance Tbk.,Financials
IRRA,Itama Ranoraya Tbk.,Healthcare
HDIT,Hensel Davest Indonesia Tbk.,Technology
HERO,DFI Retail Nusantara Tbk.,Consumer Non-Cyclicals
GTSI,GTS Internasional Tbk.,Energy
SUPR,Solusi Tunas Pratama Tbk.,Infrastructures
IMJS,Indomobil Multi Jasa Tbk.,Transportation & Logistics
APLN,Agung Podomoro Land Tbk.,Properties & Real Estate
IKAI,Intikeramik Alamasri Industri T,Industrials
GEMS,Golden Energy Mines Tbk.,Energy
MLPT,Multipolar Technology Tbk.,Technology
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructures
ALMI,Alumindo Light Metal Industry T,Basic Materials
UNVR,Unilever Indonesia Tbk,Consumer Non-Cyclicals
IFSH,Ifishdeco Tbk.,Basic Materials
IGAR,Champion Pacific Indonesia Tbk.,Basic Materials
HATM,Habco Trans Maritima Tbk.,Transportation & Logistics
IKBI,Sumi Indo Kabel Tbk,Industrials
IMPC,Impack Pratama Industri Tbk.,Industrials
IFII,Indonesia Fibreboard Industry T,Basic Materials
IKAN,Era Mandiri Cemerlang Tbk.,Consumer Non-Cyclicals
INCI,Intanwijaya Internasional Tbk,Basic Materials
NISP,Bank OCBC NISP Tbk,Financials
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals
INPS,Indah Prakasa Sentosa Tbk.,Energy
BBSI,Krom Bank Indonesia Tbk.,Financials
INTD,Inter Delta Tbk,Basic Materials
APEX,Apexindo Pratama Duta Tbk.,Energy
MTSM,Metro Realty Tbk,Properties & Real Estate
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals
IPOL,Indopoly Swakarsa Industry Tbk.,Basic Materials
INCF,Indo Komoditi Korpora Tbk.,Basic Materials
INDO,Royalindo Investa Wijaya Tbk.,Properties & Real Estate
IPTV,MNC Vision Networks Tbk.,Consumer Cyclicals
INDS,Indospring Tbk,Consumer Cyclicals
AHAP,Asuransi Harta Aman Pratama Tbk,Financials
KBLI,KMI Wire & Cable Tbk.,Industrials
JTPE,Jasuindo Tiga Perkasa Tbk,Industrials
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials
KBLM,Kabelindo Murni Tbk,Industrials
JMAS,Asuransi Jiwa Syariah Jasa Mitr,Financials
JAST,Jasnita Telekomindo Tbk.,Infrastructures
IPCM,Jasa Armada Indonesia Tbk.,Infrastructures
JIHD,Jakarta International  Hotels &,Consumer Cyclicals
ITMA,Sumber Energi Andalan Tbk.,Energy
JSPT,Jakarta Setiabudi Internasional,Consumer Cyclicals
KREN,Quantum Clovera Investama Tbk.,Technology
LCKM,LCK Global Kedaton Tbk.,Infrastructures
KBLV,First Media Tbk.,Infrastructures
LAPD,Leyand International Tbk,Consumer Non-Cyclicals
LAND,Trimitra Propertindo Tbk.,Properties & Real Estate
LEAD,Logindo Samudramakmur Tbk.,Energy
KAEF,Kimia Farma (Persero) Tbk.,Healthcare
KEJU,Mulia Boga Raya Tbk.,Consumer Non-Cyclicals
JGLE,Graha Andrasentra Propertindo T,Consumer Cyclicals
KBAG,Karya Bersama Anugerah Tbk.,Properties & Real Estate
KOTA,DMS Propertindo Tbk.,Consumer Cyclicals
FASW,Fajar Surya Wisesa Tbk,Basic Materials
KMDS,Kurniamitra Duta Sentosa Tbk.,Consumer Non-Cyclicals
KINO,Kino Indonesia Tbk.,Consumer Non-Cyclicals
KPIG,MNC Tourism Indonesia Tbk.,Consumer Cyclicals
KOPI,Mitra Energi Persada Tbk.,Energy
KOBX,Kobexindo Tractors Tbk.,Industrials
KIOS,Kioson Komersial Indonesia Tbk.,Technology
KLAS,Pelayaran Kurnia Lautan Semesta,Transportation & Logistics
KICI,Kedaung Indah Can Tbk,Consumer Cyclicals
KONI,Perdana Bangun Pusaka Tbk,Industrials
KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistics
LPGI,Lippo General Insurance Tbk,Financials
LUCY,Lima Dua Lima Tiga Tbk.,Consumer Cyclicals
MBTO,Martina Berto Tbk.,Consumer Non-Cyclicals
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals
LPPS,Lenox Pasifik Investama Tbk.,Financials
LPCK,Lippo Cikarang Tbk,Properties & Real Estate
MAPB,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals
MAHA,Mandiri Herindo Adiperkasa Tbk.,Energy
MBAP,Mitrabara Adiperdana Tbk.,Energy
BEER,Jobubu Jarum Minahasa Tbk.,Consumer Non-Cyclicals
MAYA,Bank Mayapada Internasional Tbk,Financials
MBSS,Mitrabahtera Segara Sejati Tbk.,Energy
MARK,Mark Dynamics Indonesia Tbk.,Industrials
MCAS,M Cash Integrasi Tbk.,Technology
LPIN,Multi Prima Sejahtera Tbk,Consumer Cyclicals
MASB,Bank Multiarta Sentosa Tbk.,Financials
MARI,Mahaka Radio Integra Tbk.,Consumer Cyclicals
MERK,Merck Tbk,Healthcare
MLBI,Multi Bintang Indonesia Tbk,Consumer Non-Cyclicals
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals
MKTR,Menthobi Karyatama Raya Tbk.,Consumer Non-Cyclicals
MINA,Sanurhasta Mitra Tbk.,Consumer Cyclicals
BEBS,Berkah Beton Sadaya Tbk.,Basic Materials
MKPI,Metropolitan Kentjana Tbk,Properties & Real Estate
LSIP,PP London Sumatra Indonesia Tbk,Consumer Non-Cyclicals
MDKI,Emdeki Utama Tbk.,Basic Materials
MEGA,Bank Mega Tbk,Financials
MITI,Mitra Investindo Tbk,Transportation & Logistics
MLPL,Multipolar Tbk,Consumer Non-Cyclicals
AMFG,Asahimas Flat Glass Tbk,Industrials
MDLN,Modernland Realty Tbk.,Properties & Real Estate
MGNA,Magna Investama Mandiri Tbk.,Consumer Cyclicals
MTFN,Capitalinc Investment Tbk,Energy
MTDL,Metrodata Electronics Tbk,Technology
INAF,Indofarma Tbk.,Healthcare
KIAS,Keramika Indonesia Assosiasi Tb,Industrials
MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals
MSIN,MNC Digital Entertainment Tbk.,Consumer Cyclicals
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals
OPMS,Optima Prima Metal Sinergi Tbk.,Basic Materials
JECC,Jembo Cable Company Tbk,Industrials
OKAS,Ancora Indonesia Resources Tbk,Basic Materials
OMRE,Indonesia Prima Property Tbk,Properties & Real Estate
OBMD,OBM Drilchem Tbk.,Basic Materials
OASA,Maharaksa Biru Energi Tbk.,Infrastructures
NZIA,Nusantara Almazia Tbk.,Properties & Real Estate
PALM,Provident Investasi Bersama Tbk,Financials
PCAR,Prima Cakrawala Abadi Tbk.,Consumer Non-Cyclicals
PGAS,Perusahaan Gas Negara (Persero),Energy
PANR,Panorama Sentrawisata Tbk,Consumer Cyclicals
PADI,Minna Padi Investama Sekuritas ,Financials
PDES,Destinasi Tirta Nusantara Tbk,Consumer Cyclicals
PBRX,Pan Brothers Tbk.,Consumer Cyclicals
PEGE,Panca Global Kapital Tbk.,Financials
PGLI,Pembangunan Graha Lestari Indah,Consumer Cyclicals
PGJO,Bahtera Bumi Raya Tbk.,Technology
PANS,Panin Sekuritas Tbk,Financials
PBID,Panca Budi Idaman Tbk.,Basic Materials
PEHA,Phapros Tbk.,Healthcare
UCID,Uni-Charm Indonesia Tbk.,Consumer Non-Cyclicals
PMJS,Putra Mandiri Jembar Tbk.,Consumer Cyclicals
PICO,Pelangi Indah Canindo Tbk,Basic Materials
PNLF,Panin Financial Tbk,Financials
PNBS,Bank Panin Dubai Syariah Tbk.,Financials
POLA,Pool Advista Finance Tbk.,Financials
PKPK,Paragon Karya Perkasa Tbk.,Energy
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals
PSSI,IMC Pelita Logistik Tbk.,Energy
PNIN,Paninvest Tbk,Financials
IPCC,Indonesia Kendaraan Terminal Tb,Infrastructures
PSDN,Prasidha Aneka Niaga Tbk,Consumer Non-Cyclicals
PRDA,Prodia Widyahusada Tbk.,Healthcare
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals
POWR,Cikarang Listrindo Tbk.,Infrastructures
MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals
POLU,Golden Flower Tbk.,Consumer Cyclicals
PORT,Nusantara Pelabuhan Handal Tbk.,Infrastructures
PPRE,PP Presisi Tbk.,Infrastructures
POLI,Pollux Hotels Group Tbk.,Properties & Real Estate
PSGO,Palma Serasih Tbk.,Consumer Non-Cyclicals
PRIM,Royal Prima Tbk.,Healthcare
SAPX,Satria Antaran Prima Tbk.,Transportation & Logistics
RBMS,Ristia Bintang Mahkotasejati Tb,Properties & Real Estate
RIGS,Rig Tenders Indonesia Tbk.,Energy
FISH,FKS Multi Agro Tbk,Consumer Non-Cyclicals
RODA,Pikko Land Development Tbk.,Properties & Real Estate
PTIS,Indo Straits Tbk.,Energy
PTSP,Pioneerindo Gourmet Internation,Consumer Cyclicals
RANC,Supra Boga Lestari Tbk.,Consumer Non-Cyclicals
RUNS,Global Sukses Solusi Tbk.,Technology
SAMF,Saraswanti Anugerah Makmur Tbk.,Basic Materials
PPGL,Prima Globalindo Logistik Tbk.,Transportation & Logistics
RELI,Reliance Sekuritas Indonesia Tb,Financials
SATU,Kota Satu Properti Tbk.,Properties & Real Estate
RDTX,Roda Vivatex Tbk,Properties & Real Estate
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate
PYFA,Pyridam Farma Tbk,Healthcare
SAME,Sarana Meditama Metropolitan Tb,Healthcare
SCNP,Selaras Citra Nusantara Perkasa,Consumer Cyclicals
SINI,Singaraja Putra Tbk.,Industrials
SDPC,Millennium Pharmacon Internatio,Consumer Non-Cyclicals
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Non-Cyclicals
SGER,Sumber Global Energy Tbk.,Energy
SCCO,Supreme Cable Manufacturing & C,Industrials
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals
SEMA,Semacom Integrated Tbk.,Energy
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistics
SLIS,Gaya Abadi Sempurna Tbk.,Consumer Cyclicals
SHID,Hotel Sahid Jaya International ,Consumer Cyclicals
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals
SKLT,Sekar Laut Tbk,Consumer Non-Cyclicals
SKRN,Superkrane Mitra Utama Tbk.,Industrials
SHIP,Sillo Maritime Perdana Tbk.,Energy
KMTR,Kirana Megatara Tbk.,Basic Materials
STAR,Calculus Global Ventures Tbk.,Financials
SOHO,Soho Global Health Tbk.,Healthcare
SPMA,Suparma Tbk,Basic Materials
SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclicals
SMMT,Golden Eagle Energy Tbk.,Energy
SOCI,Soechi Lines Tbk.,Energy
SONA,Sona Topas Tourism Industry Tbk,Consumer Cyclicals
TRST,Trias Sentosa Tbk,Basic Materials
TRUK,Guna Timur Raya Tbk.,Transportation & Logistics
TRJA,Transkon Jaya Tbk.,Transportation & Logistics
TRUE,Triniti Dinamik Tbk.,Properties & Real Estate
SULI,SLJ Global Tbk.,Basic Materials
SMMA,Sinarmas Multiartha Tbk.,Financials
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals
SRTG,Saratoga Investama Sedaya Tbk.,Financials
SNLK,Sunter Lakeside Hotel Tbk.,Consumer Cyclicals
TUGU,Asuransi Tugu Pratama Indonesia,Financials
TRUS,Trust Finance Indonesia Tbk,Financials
TALF,Tunas Alfin Tbk.,Basic Materials
TAMA,Lancartama Sejati Tbk.,Infrastructures
TARA,Agung Semesta Sejahtera Tbk.,Properties & Real Estate
TAPG,Triputra Agro Persada Tbk.,Consumer Non-Cyclicals
TBMS,Tembaga Mulia Semanan Tbk,Basic Materials
TSPC,Tempo Scan Pacific Tbk,Healthcare
TAXI,Express Transindo Utama Tbk.,Transportation & Logistics
TMPO,Tempo Intimedia Tbk.,Consumer Cyclicals
TRIM,Trimegah Sekuritas Indonesia Tb,Financials
TRIN,Perintis Triniti Properti Tbk.,Properties & Real Estate
TGKA,Tigaraksa Satria Tbk,Consumer Non-Cyclicals
INPP,Indonesian Paradise Property Tb,Properties & Real Estate
TIRA,Tira Austenite Tbk,Industrials
SOFA,Solusi Environment Asia Tbk.,Consumer Cyclicals
TNCA,Trimuda Nuansa Citra Tbk.,Transportation & Logistics
TPMA,Trans Power Marine Tbk.,Energy
TOBA,TBS Energi Utama Tbk.,Energy
URBN,Urban Jakarta Propertindo Tbk.,Properties & Real Estate
VINS,Victoria Insurance Tbk.,Financials
TFAS,Telefast Indonesia Tbk.,Technology
VIVA,Visi Media Asia Tbk.,Consumer Cyclicals
YPAS,Yanaprima Hastapersada Tbk,Basic Materials
WEGE,Wijaya Karya Bangunan Gedung Tb,Infrastructures
WINS,Wintermar Offshore Marine Tbk.,Energy
VRNA,Mizuho Leasing Indonesia Tbk.,Financials
WSBP,Waskita Beton Precast Tbk.,Basic Materials
VOKS,Voksel Electric Tbk,Industrials
WIRG,WIR ASIA Tbk.,Technology
YULE,Yulie Sekuritas Indonesia Tbk.,Financials
AALI,Astra Agro Lestari Tbk.,Consumer Non-Cyclicals
